ADM3_FR,ADM2_FR,ADM1_FR,shape_Leng,Shape_Area,ADM0_PCODE,Country,Latitude,Longitude,Population,Area,Total_bran,Total_ATMs,Total_geoc
Débéré,Douentza,Mopti,1.150690580320000,0.057606917584300,ML,mali,15.151786000000000,-2.963203000000000,"6953",45000.000,0.000000000000000,0.000000000000000,
Dangol Boré,Douentza,Mopti,2.318375004820000,0.217616572282000,ML,mali,15.174481999999999,-3.517274000000000,"26540",277300.000,0.000000000000000,0.000000000000000,
Mopti,Mopti,Mopti,0.449810408415000,0.003389654196160,ML,mali,14.488765000000001,-4.191778000000000,"120786",1310.000,13.000000000000000,7.000000000000000,"6"
Sasalbe,Mopti,Mopti,0.680528847444000,0.021705969230300,ML,mali,14.437357000000000,-4.532396000000000,"5996",30800.000,0.000000000000000,0.000000000000000,
Zantiébougou,Bougouni,Sikasso,2.603269060860000,0.132269490844000,ML,mali,11.446884000000001,-7.197232000000000,"35767",167900.000,0.000000000000000,0.000000000000000,
Kolélé,Bougouni,Sikasso,1.541804479130000,0.028499137068100,ML,mali,11.516918000000000,-7.517374000000000,"6477",45600.000,0.000000000000000,0.000000000000000,
Mandé,Kati,Koulikoro,1.230266506230000,0.057778359971600,ML,mali,12.479609999999999,-8.172324000000000,"57349",67800.000,0.000000000000000,0.000000000000000,
Yoro,Koro,Mopti,1.108391934550000,0.068152080871600,ML,mali,14.296279999999999,-2.129413000000000,"19109",40900.000,0.000000000000000,0.000000000000000,
Madougou,Koro,Mopti,1.361175294020000,0.050295017594400,ML,mali,14.406164000000000,-3.077550000000000,"28943",66700.000,0.000000000000000,0.000000000000000,
Koro,Koro,Mopti,2.114097296950000,0.151298004267000,ML,mali,13.889609999999999,-3.030024000000000,"96908",258300.000,0.000000000000000,0.000000000000000,
Koporokendie Na,Koro,Mopti,0.772140388436000,0.020619414599400,ML,mali,14.142097000000000,-3.390797000000000,"18504",25900.000,0.000000000000000,0.000000000000000,
Koporo Pen,Koro,Mopti,0.856456577843000,0.023921950647600,ML,mali,14.250244000000000,-3.300375000000000,"18766",34300.000,0.000000000000000,0.000000000000000,
Kassa,Koro,Mopti,0.572084753347000,0.012690121312800,ML,mali,14.752890000000001,-3.042529000000000,"18901",16100.000,0.000000000000000,0.000000000000000,
Dougouténé II,Koro,Mopti,0.805822462697000,0.022148064753800,ML,mali,13.903271000000000,-3.367207000000000,"21045",25800.000,0.000000000000000,0.000000000000000,
Dougouténé I,Koro,Mopti,1.251436599830000,0.037338616548900,ML,mali,13.933571000000001,-3.232636000000000,"20930",46900.000,0.000000000000000,0.000000000000000,
Diougani,Koro,Mopti,1.994177001920000,0.174930837952000,ML,mali,14.442111000000001,-2.692469000000000,"32549",208800.000,0.000000000000000,0.000000000000000,
Dinangourou,Koro,Mopti,1.737686624870000,0.148413053534000,ML,mali,14.499847000000001,-2.363961000000000,"32823",231500.000,0.000000000000000,0.000000000000000,
Diankabou,Koro,Mopti,1.330312256040000,0.098674376109300,ML,mali,14.640304000000000,-2.909486000000000,"11615",118200.000,0.000000000000000,0.000000000000000,
Bondo,Koro,Mopti,0.838158383622000,0.037563718569300,ML,mali,14.152020000000000,-2.920313000000000,"48074",119500.000,0.000000000000000,0.000000000000000,
Ouonkoro,Bankass,Mopti,1.633386638970000,0.063625870505100,ML,mali,13.338566000000000,-3.661907000000000,"22702",80800.000,0.000000000000000,0.000000000000000,
Sokoura,Bankass,Mopti,1.516778122550000,0.074100003907600,ML,mali,13.490760000000000,-3.697682000000000,"38565",86300.000,0.000000000000000,0.000000000000000,
Tori,Bankass,Mopti,0.853715242735000,0.027892830480900,ML,mali,13.566185000000001,-3.550776000000000,"18011",34600.000,0.000000000000000,0.000000000000000,
Baye,Bankass,Mopti,1.638094098670000,0.118442201101000,ML,mali,13.439178000000000,-3.386925000000000,"53384",262300.000,0.000000000000000,0.000000000000000,
Diallassagou,Bankass,Mopti,0.822891223552000,0.028425453768600,ML,mali,13.717072999999999,-3.631646000000000,"22709",33900.000,0.000000000000000,0.000000000000000,
Koulogon Habé,Bankass,Mopti,0.588571034737000,0.018204258158000,ML,mali,13.787723000000000,-3.454955000000000,"14511",21600.000,0.000000000000000,0.000000000000000,
Ségué,Bankass,Mopti,1.434417759920000,0.095392143024100,ML,mali,13.793925000000000,-3.850452000000000,"22067",113500.000,0.000000000000000,0.000000000000000,
